Cycle, Dupes, Calories Added, Calories Removed, Net Calories, Stress Added, Stress Removed, Net Stress, Total Germs, Chores Added, Chores Removed, Net Chores, Avg. Working Time, Avg. Travel Time, Avg. Personal Time, Idle Time, Oxygen Added, Oxygen Removed, Net Oxygen, Power Added, Power Removed, Net Power Usage, Power Wasted
 ,  , [kcal], [kcal], [kcal], [Total Stress], [Total Stress], [Total Stress], [All Dupes],  ,  ,  , [Per Dupe], [Per Dupe], [Per Dupe], [Total Idle Time], [kg], [kg], [kg], [kJ], [kJ], [kJ], [kJ]
1, 3, 0.000, -3116.479, -3116.479, 5.626784801483154%, -32.98596954345703%, -27.35887336730957%, 0, 217, -200, 17, 50.366682264539925%, 14.137037489149305%, 6.142518785264756%, 4.919444402058919%, 0.000, -131.431, -131.431, 0.000, 0.000, 0.000, 0.000, 
2, 3, 0.000, -1912.855, -1912.855, 17.080656051635742%, -91.64366912841797%, -74.56246948242188%, 122835, 133, -121, 12, 56.53571234809028%, 23.5%, 15.376144409179688%, 4.030555725097656%, 0.000, -166.039, -166.039, 34.160, -21.636, 12.524, -3.716, 
3, 3, 0.000, -2540.256, -2540.256, 1.7233318090438843%, -85.7291259765625%, -84.00545501708984%, 0, 92, -95, -3, 56.34307861328125%, 21.333333333333332%, 17.079435560438366%, 0.29722221692403156%, 15.500, -169.359, -153.859, 25.920, -31.033, -5.113, -3.696, 
4, 3, 600.000, -1595.418, -995.418, 4.623367786407471%, -55.27263259887695%, -50.655879974365234%, 0, 90, -88, 2, 54.43151177300347%, 24.61111111111111%, 16.41292995876736%, 2.691666603088379%, 121.000, -179.341, -58.344, 56.480, -48.288, 8.192, -3.299, 
5, 3, 1200.000, -3844.811, -2644.811, 7.240138053894043%, -39.85536575317383%, -32.613136291503906%, 4223, 189, -125, 64, 50.82044813368055%, 28.055555555555557%, 15.532589382595487%, 1.7361111640930176%, 114.500, -176.561, -62.064, 47.920, -42.036, 5.884, -3.585, 
6, 3, 2200.000, -2024.328, 175.672, 1.5933319330215454%, -86.36967468261719%, -84.77606201171875%, 0, 104, -111, -7, 54.142866346571175%, 26.277777777777775%, 15.800118340386284%, 0%, 134.500, -177.381, -42.884, 61.600, -64.332, -2.732, -3.202, 
7, 3, 1200.000, -3717.013, -2517.013, 1.19666588306427%, -95.45138549804688%, -94.25446319580078%, 0, 278, -149, 129, 52.360805935329864%, 26.705556233723957%, 14.453223334418404%, 0%, 136.500, -176.066, -39.569, 54.880, -48.296, 6.584, -3.588, 
8, 3, 0.000, -2761.645, -2761.645, 0.6133330464363098%, -96.43302917480469%, -95.81970977783203%, 0, 120, -144, -24, 57.51958550347222%, 22.055555555555557%, 13.633710225423178%, 0%, 164.000, -178.421, -14.423, 51.760, -50.988, 0.772, -3.536, 
9, 3, 0.000, -2139.631, -2139.631, 1.5699986219406128%, -97.23075103759766%, -95.6604232788086%, 0, 155, -162, -7, 50.188262939453125%, 29.833333333333332%, 14.219946967230904%, 0%, 141.500, -176.701, -35.204, 52.880, -44.391, 8.489, -3.521, 
10, 3, 2200.000, -3322.088, -1122.088, 1.916664958000183%, -96.70381927490234%, -94.78675842285156%, 11042, 97, -100, -3, 47.206502278645836%, 33.05555555555556%, 13.697612338595919%, 0%, 153.500, -169.139, -15.643, 74.400, -72.213, 2.187, -2.905, 
11, 3, 2200.000, -2480.070, -280.070, 1.5033320188522339%, -88.84549713134766%, -87.34208679199219%, 86111, 231, -145, 86, 55.71556939019097%, 24.929629855685764%, 14.564309014214409%, 0%, 157.500, -172.100, -14.601, 56.160, -55.470, 0.690, -3.482, 
12, 3, 2800.000, -2993.446, -193.446, 2.0433316230773926%, -87.32850646972656%, -85.28498077392578%, 0, 92, -89, 3, 49.41712782118055%, 33.05555555555556%, 13.873574998643663%, 0%, 139.000, -172.940, -33.943, 62.000, -62.798, -0.798, -2.149, 
13, 3, 4200.000, -1623.818, 2576.182, 0.8666659593582153%, -76.38201141357422%, -75.51526641845703%, 0, 155, -109, 46, 43.330715603298614%, 37.333333333333336%, 13.97822740342882%, 0%, 132.500, -172.800, -40.304, 53.840, -47.646, 6.194, -2.305, 
14, 3, 4200.000, -5472.477, -1272.477, 10.04372501373291%, -38.40723419189453%, -28.361099243164062%, 0, 100, -131, -31, 50.06231350368924%, 29%, 14.910520765516493%, 0%, 152.500, -161.498, -9.001, 47.360, -46.340, 1.020, -2.780, 
15, 3, 1200.000, -1581.775, -381.775, 1.1299992799758911%, -86.6321029663086%, -85.50196075439453%, 0, 68, -64, 4, 50.28539021809896%, 32.61111111111111%, 12.81223890516493%, 0%, 139.500, -166.159, -26.663, 52.080, -50.660, 1.420, -2.421, 
16, 3, 4200.000, -2452.916, 1747.084, 3.349997043609619%, -73.98031616210938%, -70.62957000732422%, 0, 65, -74, -9, 50.040018717447914%, 33.61111111111111%, 11.960205078125%, 0%, 118.000, -168.919, -50.924, 51.920, -43.239, 8.681, -2.215, 
17, 3, 2400.000, -2624.809, -224.810, 1.2333322763442993%, -75.45404815673828%, -74.22062683105469%, 64190, 75, -59, 16, 49.815155029296875%, 35.166666666666664%, 12.580707973904081%, 0%, 145.500, -172.560, -27.063, 65.360, -71.015, -5.655, -1.939, 
18, 3, 1200.000, -7640.046, -6440.046, 2.7266645431518555%, -73.8275375366211%, -71.1007308959961%, 3281, 90, -102, -12, 57.876864963107636%, 23.833333333333332%, 12.49920908610026%, 0%, 129.000, -168.319, -39.324, 54.960, -49.840, 5.120, -2.105, 
19, 3, 6400.000, -1851.346, 4548.654, 2.0866687297821045%, -61.4254150390625%, -59.33827209472656%, 0, 98, -102, -4, 51.934044731987846%, 31.444444444444443%, 11.456392923990885%, 0%, 123.000, -178.961, -55.964, 51.200, -51.628, -0.428, -2.274, 
20, 3, 2200.000, -7084.862, -4884.862, 11.94999885559082%, -72.21977233886719%, -60.27323913574219%, 0, 74, -82, -8, 40.05268351236979%, 40.666666666666664%, 14.755003187391493%, 0%, 119.500, -155.016, -35.523, 63.200, -54.673, 8.527, -1.591, 
21, 3, 4600.000, -2469.568, 2130.432, 12.016654014587402%, -92.1186294555664%, -80.10030364990234%, 0, 249, -241, 8, 44.05352444118924%, 36.77777777777778%, 11.68792470296224%, 0%, 185.000, -153.216, 31.778, 34.400, -36.347, -1.947, -2.297, 
22, 3, 9600.000, -2249.789, 7350.211, 8.796887397766113%, -85.68467712402344%, -76.88744354248047%, 0, 105, -121, -16, 34.39008924696181%, 47.77777777777778%, 11.858332316080729%, 0%, 131.000, -174.000, -43.003, 26.640, -26.485, 0.155, -1.738, 
23, 3, 2400.000, -2161.426, 238.574, 0.6233328580856323%, -91.99346923828125%, -91.3700180053711%, 0, 193, -160, 33, 44.022915310329864%, 38.61111111111111%, 12.368626064724394%, 0%, 119.000, -176.201, -57.204, 24.560, -24.344, 0.216, -1.639, 
24, 3, 5200.000, -4109.527, 1090.473, 2.393331289291382%, -70.63249969482422%, -68.23857116699219%, 14669, 125, -166, -41, 37.54767184787327%, 43.833333333333336%, 13.019690619574654%, 0%, 46.500, -173.800, -127.300, 18.960, -17.826, 1.134, -0.512, 
25, 3, 9400.000, -2381.144, 7018.856, 3.733330011367798%, -93.37078094482422%, -89.63719177246094%, 0, 111, -108, 3, 39.91093614366319%, 42.72222222222222%, 12.312132941351997%, 0%, 246.500, -171.520, 74.980, 68.720, -64.207, 4.513, -2.425, 
26, 3, 3000.000, -3626.028, -626.028, 4.340014934539795%, -74.0530014038086%, -69.7139892578125%, 23511, 108, -93, 15, 28.616583930121525%, 52.822224934895836%, 11.847217983669706%, 0%, 227.500, -163.695, 63.801, 46.080, -42.349, 3.731, -2.665, 
27, 3, 4000.000, -4407.939, -407.938, 11.980008125305176%, -84.10986328125%, -72.12947082519531%, 0, 215, -144, 71, 32.09245130750868%, 47.55555555555555%, 11.824991861979166%, 0%, 223.000, -149.095, 73.902, 45.600, -38.581, 7.019, -2.737, 
28, 3, 11600.000, -6179.953, 5420.047, 1.4066656827926636%, -69.77985382080078%, -68.37303924560547%, 43054, 209, -184, 25, 47.887797037760414%, 35.22222222222222%, 10.810885111490885%, 0%, 212.000, -171.400, 40.598, 46.320, -42.636, 3.684, -2.584, 
